name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,TMC
,121,96,1225,,,59.50393935885475,1,nan,46.67086,residential,6,,"LINESTRING (-112.05647 33.44941,-112.05647 33.44917,-112.05647 33.44909,-112.05647 33.44888)",
,122,96,97,,,46.0895316601635,1,nan,46.67086,residential,6,,"LINESTRING (-112.05639 33.44941,-112.0564 33.44983)",
,123,97,96,,,46.0895316601635,1,nan,46.67086,residential,6,,"LINESTRING (-112.05647 33.44983,-112.05647 33.44941)",
,124,97,98,,,64.07191779813688,1,nan,46.67086,residential,6,,"LINESTRING (-112.0564 33.44983,-112.0564 33.44993,-112.0564 33.45041)",
,125,98,97,,,64.06947535709288,1,nan,46.67086,residential,6,,"LINESTRING (-112.05647 33.45041,-112.05647 33.44993,-112.05647 33.44983)",
,126,98,99,,,104.72632004742336,1,nan,46.67086,residential,6,,"LINESTRING (-112.0564 33.45041,-112.0564 33.45046,-112.0564 33.45059,-112.0564 33.45087,-112.0564 33.45099,-112.0564 33.45124,-112.0564 33.45135)",
,127,99,98,,,104.72632039186529,1,nan,46.67086,residential,6,,"LINESTRING (-112.05647 33.45135,-112.05647 33.45124,-112.05647 33.45099,-112.05647 33.45087,-112.05647 33.45059,-112.05647 33.45046,-112.05647 33.45041)",
,128,100,1060,,,77.96182629437072,1,nan,46.67086,tertiary,5,,"LINESTRING (-112.06976 33.45871,-112.06987 33.45871,-112.07014 33.45871,-112.07029 33.45871,-112.0706 33.45871)",
,129,1060,100,,,77.98894037033243,2,nan,46.67086,tertiary,5,,"LINESTRING (-112.0706 33.45863,-112.07029 33.45863,-112.07014 33.45863,-112.06987 33.45863,-112.06976 33.45863)",
,130,120,86,,,231.7001481227567,1,nan,40.2335,residential,6,,"LINESTRING (-112.05894 33.45924,-112.05882 33.45924,-112.05645 33.45924)",
,131,86,120,,,231.69904418816532,1,nan,40.2335,residential,6,,"LINESTRING (-112.05645 33.4593,-112.05882 33.4593,-112.05894 33.4593)",
